Category,ds,y_original,y,is_holiday,is_payday,is_promo,is_weekend,month,quarter,year
Office Supplies,2016-11-30,21178.298,17096.049,0.0,1.0,1.0,1,11,4,2016
Office Supplies,2016-12-31,16099.322,14669.521,1.0,1.0,1.0,1,12,4,2016
Office Supplies,2017-01-31,5299.682,5012.903,1.0,1.0,1.0,1,1,1,2017
Office Supplies,2017-02-28,6794.349999999999,6754.826499999999,1.0,1.0,1.0,1,2,1,2017
Office Supplies,2017-03-31,17324.545000000002,9256.345,1.0,1.0,1.0,1,3,1,2017
Office Supplies,2017-04-30,10577.175,9891.694,1.0,1.0,1.0,1,4,2,2017
Office Supplies,2017-05-31,12931.642,12503.045,1.0,1.0,1.0,1,5,2,2017
Office Supplies,2017-06-30,10901.81,10452.9575,1.0,1.0,1.0,1,6,2,2017
Office Supplies,2017-07-31,12903.824,12382.057,0.0,1.0,1.0,1,7,3,2017
Office Supplies,2017-08-31,8959.74,7976.384999999999,1.0,1.0,1.0,1,8,3,2017
Office Supplies,2017-09-30,23013.402,18753.8215,1.0,1.0,1.0,1,9,3,2017
Office Supplies,2017-10-31,16236.65,10863.3135,0.0,1.0,1.0,1,10,4,2017
Office Supplies,2017-11-30,20141.808,17638.9405,0.0,1.0,1.0,1,11,4,2017
Office Supplies,2017-12-31,37332.938,19335.56,1.0,1.0,1.0,1,12,4,2017
Office Supplies,2018-01-31,21052.979,12601.609,1.0,1.0,1.0,1,1,1,2018
Office Supplies,2018-02-28,7378.172,6875.1165,1.0,1.0,1.0,1,2,1,2018
Office Supplies,2018-03-31,14541.346,12980.569,1.0,1.0,1.0,1,3,1,2018
Office Supplies,2018-04-30,14214.947,9600.96,1.0,1.0,1.0,1,4,2,2018
Office Supplies,2018-05-31,13493.804,12862.5825,1.0,1.0,1.0,1,5,2,2018
Office Supplies,2018-06-30,14221.101,12196.3285,1.0,1.0,1.0,1,6,2,2018
Office Supplies,2018-07-31,10239.356,10239.356,0.0,1.0,1.0,1,7,3,2018
Office Supplies,2018-08-31,29799.564,16947.8475,1.0,1.0,1.0,1,8,3,2018
Office Supplies,2018-09-30,31607.523,21508.0055,1.0,1.0,1.0,1,9,3,2018
Office Supplies,2018-10-31,22708.4,14928.8305,0.0,1.0,1.0,1,10,4,2018
Office Supplies,2018-11-30,31472.337,23794.642,1.0,1.0,1.0,1,11,4,2018
Office Supplies,2018-12-31,29638.012,24025.3945,1.0,1.0,1.0,1,12,4,2018
Technology,2015-01-31,3143.29,3143.29,0.0,1.0,1.0,1,1,1,2015
Technology,2015-02-28,1608.51,1608.51,0.0,1.0,1.0,1,2,1,2015
Technology,2015-03-31,32359.974,7017.728499999999,1.0,1.0,1.0,1,3,1,2015
Technology,2015-04-30,8973.144,8164.6007500000005,0.0,1.0,1.0,1,4,2,2015
Technology,2015-05-31,9599.876,9221.7385,1.0,1.0,1.0,1,5,2,2015
Technology,2015-06-30,8435.965,5699.3165,1.0,1.0,1.0,1,6,2,2015
Technology,2015-07-31,7839.284,6555.612499999999,0.0,1.0,1.0,1,7,3,2015
Technology,2015-08-31,8937.05,7753.8805,1.0,1.0,1.0,1,8,3,2015
Technology,2015-09-30,30383.748,13247.9645,0.0,1.0,1.0,1,9,3,2015
Technology,2015-10-31,11938.018,9791.38475,1.0,1.0,1.0,1,10,4,2015
Technology,2015-11-30,30073.424,18431.6775,0.0,1.0,1.0,1,11,4,2015
Technology,2015-12-31,20573.224000000002,13811.7065,1.0,1.0,1.0,1,12,4,2015
Technology,2016-01-31,4518.236,4046.9762499999997,0.0,1.0,1.0,1,1,1,2016
Technology,2016-02-29,3448.9700000000003,3448.9700000000003,1.0,1.0,1.0,1,2,1,2016
Technology,2016-03-31,10143.942,7467.5725,1.0,1.0,1.0,1,3,1,2016
Technology,2016-04-30,11160.952000000001,10437.71825,0.0,1.0,1.0,1,4,2,2016
Technology,2016-05-31,11643.0,7613.4705,1.0,1.0,1.0,1,5,2,2016
Technology,2016-06-30,6435.366,6435.366,1.0,1.0,1.0,1,6,2,2016
Technology,2016-07-31,10234.976,8930.6985,1.0,1.0,1.0,1,7,3,2016
Technology,2016-08-31,15444.642,9528.841,1.0,1.0,1.0,1,8,3,2016
Technology,2016-09-30,19017.128,15687.965,1.0,1.0,1.0,1,9,3,2016
Technology,2016-10-31,10704.89,10229.96025,1.0,1.0,1.0,1,10,4,2016
Technology,2016-11-30,23873.601,16724.964,0.0,1.0,1.0,1,11,4,2016
Technology,2016-12-31,35632.028,19803.196,1.0,1.0,1.0,1,12,4,2016
Technology,2017-01-31,5620.066,5620.066,0.0,1.0,1.0,1,1,1,2017
Technology,2017-02-28,12258.914,4957.68025,0.0,1.0,1.0,1,2,1,2017
Technology,2017-03-31,21567.852000000003,11646.798999999999,0.0,1.0,1.0,1,3,1,2017
Technology,2017-04-30,14890.501999999999,7204.12025,1.0,1.0,1.0,1,4,2,2017
Technology,2017-05-31,28832.691,14045.956,0.0,1.0,1.0,1,5,2,2017
Technology,2017-06-30,16372.152,9926.7625,1.0,1.0,1.0,1,6,2,2017
Technology,2017-07-31,12847.2,11007.02075,0.0,1.0,1.0,1,7,3,2017
Technology,2017-08-31,9672.402,9615.13825,0.0,1.0,1.0,1,8,3,2017
Technology,2017-09-30,19424.514,11794.6725,1.0,1.0,1.0,1,9,3,2017
Technology,2017-10-31,31533.374,9985.59875,0.0,1.0,1.0,1,10,4,2017
Technology,2017-11-30,27141.059,18091.732,0.0,1.0,1.0,1,11,4,2017
Technology,2017-12-31,21801.218,15639.92525,1.0,1.0,1.0,1,12,4,2017
Technology,2018-01-31,16493.333,10473.4,0.0,1.0,1.0,1,1,1,2018
Technology,2018-02-28,5768.448,5768.448,1.0,1.0,1.0,1,2,1,2018
Technology,2018-03-31,33428.622,16204.079,1.0,1.0,1.0,1,3,1,2018
Technology,2018-04-30,12261.005000000001,7509.6025,0.0,1.0,1.0,1,4,2,2018
Technology,2018-05-31,13374.62,10856.62675,1.0,1.0,1.0,1,5,2,2018
Technology,2018-06-30,16937.24,12415.221,1.0,1.0,1.0,1,6,2,2018
Technology,2018-07-31,23209.926,16159.46575,0.0,1.0,1.0,1,7,3,2018
Technology,2018-08-31,17619.162,12483.43925,1.0,1.0,1.0,1,8,3,2018
Technology,2018-09-30,26028.659,18216.3405,1.0,1.0,1.0,1,9,3,2018
Technology,2018-10-31,32855.663,14578.84875,0.0,1.0,1.0,1,10,4,2018
Technology,2018-11-30,49409.102999999996,24077.567,1.0,1.0,1.0,1,11,4,2018
Technology,2018-12-31,21984.91,16592.9155,1.0,1.0,1.0,1,12,4,2018
